course_id,course_name,type,credits
CFOC378M,Statistical Signal Processing,theory,3.0
CFOC379M,Nonlinear System Analysis,theory,3.0
CFOC380M,Ethics in Engineering Practice,theory,2.0
CFOC381M,Introduction to Research,theory,2.0
CFOC382M,Matlab Programming for Numerical Computation,theory,2.0
CFOC383M,Roadmap for Patent Creation,theory,2.0
CFOC384M,Entrepreneurship Essentials,theory,3.0
CFOC385M,Fuzzy Logic and Neural Networks,theory,2.0
CFOC386M,Microeconomics : Theory & Applications,theory,3.0
CFOC387M,Introduction to Environmental Economics,theory,3.0
CFOC388M,"Energy Resources, Economics and Environment",theory,3.0
CFOC389M,Literary Criticism (From Plato to Leavis),theory,3.0
CFOC390M,Twentieth Century Fiction,theory,3.0
CFOC391M,Effective Writing,theory,1.0
CFOC392M,Strategic Trade and Protectionism - Theories and Empirics,theory,2.0
CFOC393M,Introduction to Cultural Studies,theory,3.0
CFOC394M,Introduction to Basic Spoken Sanskrit,theory,1.0
CFOC395M,Speaking Effectively,theory,2.0
CFOC396M,Soft Skill Development,theory,2.0
CFOC397M,Intellectual Property,theory,3.0
CFOC398M,English Language for Competitive Exams,theory,3.0
CFOC399M,English Literature for Competitive Exams,theory,2.0
CFOC400M,Language and Mind,theory,2.0
CFOC401M,The Nineteenth - Century English Novel,theory,3.0
CFOC402M,Introduction to World Literature,theory,3.0
CFOC403M,Patent Drafting for Beginners,theory,1.0
CFOC404M,Patent Law for Engineers and Scientists,theory,3.0
CFOC405M,Economic Growth & Development,theory,2.0
CFOC406M,Human Behaviour,theory,2.0
CFOC407M,Introduction to Modern Indian Political Thought,theory,3.0
CFOC408M,"English Literature of the Romantic Period, 1798 - 1832",theory,2.0
CFOC409M,"Literature, Culture and Media",theory,3.0
CFOC410M,Introduction to Brain & Behaviour,theory,2.0
CFOC411M,Modern Indian Writing in Translation,theory,3.0
CFOC412M,"Introduction to Political Ideologies : Contexts, Ideas, and Practices",theory,3.0
CFOC413M,Indian Business History,theory,2.0
CFOC414M,German - II,theory,3.0
CFOC415M,German - I,theory,3.0
CFOC416M,Feminism : Concepts and Theories,theory,3.0
CFOC417M,An Introduction to Smooth Manifolds,theory,3.0
CFOC418M,Measure Theory,theory,3.0
CFOC419M,Basic Real Analysis,theory,3.0
CFOC420M,Probabilistic Methods in PDE,theory,3.0
CFOC421M,Graph Theory,theory,2.0
CFOC422M,Transform Calculus and its applications in Differential Equations,theory,3.0
CFOC423M,Integral and Vector Calculus,theory,3.0
CFOC424M,Basic Linear Algebra,theory,2.0
CFOC425M,Introduction to Rings And Fields,theory,2.0
CFOC426M,Numerical Methods : Finite Difference Approach,theory,1.0
CFOC427M,Numerical Linear Algebra,theory,3.0
CFOC428M,Ordinary and Partial Differential Equations and Applications,theory,3.0
CFOC429M,Advanced Engineering Mathematics,theory,3.0
CFOC430M,Mathematical Methods and its Applications,theory,3.0
CFOC431M,Multivariable Calculus,theory,2.0
CFOC432M,Chaotic Dynamical System,theory,3.0
CFOC433M,Engineering Mathematics II,theory,3.0
CFOC434M,Advanced Probability Theory,theory,3.0
CFOC435M,Statistical Inference,theory,2.0
CFOC436M,Introduction to Algebraic Geometry and Commutative Algebra,theory,3.0
CFOC437M,Linear Algebra,theory,3.0
CFOC438M,Introduction to Probability and Statistics,theory,1.0
CFOC439M,Descriptive Statistics with R Software,theory,2.0
CFOC440M,Engineering Mechanics - Statics and Dynamics,theory,2.0
CFOC441M,Experimental Stress Analysis,theory,3.0
CFOC442M,Robotics and Control : Theory and Practice,theory,2.0
CFOC443M,Computational Fluid Dynamics for Incompressible Flows,theory,3.0
CFOC444M,Experimental Methods in Fluid Mechanics,theory,3.0
CFOC445M,Foundations of Computational Materials Modelling,theory,3.0
CFOC446M,Acoustic Materials and Metamaterials,theory,2.0
CFOC447M,Power Plant Engineering,theory,2.0
CFOC448M,Applied Ergonomics,theory,3.0
CFOC449M,Product Design and Manufacturing,theory,3.0
CFOC450M,Manufacturing Process Technology I & II,theory,3.0
CFOC451M,Introduction To Mechanical Micro Machining,theory,3.0
CFOC452M,"Non Traditional Abrasive Machining Processes Ultrasonic, Abrasive Jet and Abrasive Water Jet Machining",theory,1.0
CFOC453M,Gear And Gear Unit Design : Theory And Practice,theory,2.0
CFOC454M,Conduction and Convection Heat Transfer,theory,3.0
CFOC455M,Laws of Thermodynamics,theory,1.0
CFOC456M,Kinematics of Mechanisms and Machines,theory,2.0
CFOC457M,Introduction To Fluid Mechanics,theory,3.0
CFOC458M,Fundamental of Welding Science and Technology,theory,2.0
CFOC459M,Introduction to Abrasive Machining and Finishing Processes,theory,2.0
CFOC460M,Automatic Control,theory,2.0
CFOC461M,Inspection and Quality Control in Manufacturing,theory,1.0
CFOC462M,Diffusion in Multicomponent Solids,theory,3.0
CFOC463M,Processing of Polymers and Polymer Composites,theory,2.0
CFOC464M,Operations Management,theory,3.0
CFOC465M,Convective Heat Transfer,theory,1.0
CFOC466M,Two phase flow and heat transfer,theory,1.0
CFOC467M,Steam and Gas Power Systems,theory,2.0
CFOC468M,Principles of Casting Technology,theory,2.0
CFOC469M,Financial Mathematics,theory,3.0
CFOC470M,Modelling and Simulation of Dynamic Systems,theory,2.0
CFOC471M,Fundamentals of combustion for propulsion,theory,2.0
CFOC472M,Industrial Automation And Control,theory,3.0
CFOC473M,Fundamentals of Nuclear Power Generation,theory,3.0
CFOC474M,Mechanics of Machining,theory,2.0
CFOC475M,IC Engines and Gas Turbines,theory,3.0
CFOC476M,Principles of Industrial Engineering,theory,3.0
CFOC477M,Computer Integrated Manufacturing,theory,3.0
CFOC478M,Machining Science,theory,1.0
CFOC479M,Introduction to Stochastic Processes,theory,3.0
CFOC480M,Introduction to System Dynamics Modeling,theory,2.0
CFOC481M,Management of New Products and Services,theory,1.0
CFOC482M,Integrated Marketing Management,theory,2.0
CFOC483M,Simulation of Business Systems: An Applied Approach,theory,2.0
CFOC484M,Production and Operation Management,theory,3.0
CFOC485M,"Services Marketing : Integrating People, Technology, Strategy",theory,2.0
CFOC486M,Managerial Skills for Interpersonal Dynamics,theory,3.0
CFOC487M,Financial Institutions and Markets,theory,3.0
CFOC488M,Business Analytics For Management Decision,theory,3.0
CFOC489M,Services Marketing : A Practical Approach,theory,1.0
CFOC490M,Sales and Distribution Management,theory,2.0
CFOC491M,Principles of Human Resource Management,theory,2.0
CFOC492M,Managing change in organizations,theory,2.0
CFOC493M,Management of Inventory Systems,theory,3.0
CFOC494M,Quality Design And Control,theory,3.0
CFOC495M,Foundation Course in Managerial Economics,theory,2.0
CFOC496M,Engineering Econometrics,theory,3.0
CFOC497M,Financial Statement Analysis and Reporting,theory,3.0
CFOC498M,Business Statistics,theory,3.0
CFOC499M,Global Marketing Management,theory,2.0
CFOC500M,Marketing Research and Analysis - II,theory,3.0
CFOC501M,Infrastructure Planning and Managements,theory,3.0
CFOC502M,Modelling and Analytics for Supply Chain Management,theory,3.0
CFOC503M,Marketing Analytics,theory,3.0
CFOC504M,Financial Management For Managers,theory,3.0
